word,mean_likeness,std_likeness
superar,3,0
crítico,2.1429,0.6901
frontera,2,0.8165
evento,2,0.5774
apagar,1.8571,0.6901
teléfono,2.125,0.3536
haz,2.375,0.744
profesional,2.375,0.5175
clásico,2.625,0.744
tono,2.125,0.3536
primero,2.75,0.4629
controlar,1.75,0.7071
derecha,1.75,0.7071
cocina,2.625,0.5175
disputar,1.7778,0.9718
raíz,2.2222,0.441
seco,1.7778,0.6667
mediar,2.6667,0.5
designar,2,0.5345
gesto,2.5,0.5477
detalle,2.6,0.5477
olvido,1,0
confundir,1.5,0.5477
diario,2.2857,0.488
punta,2,0
ambiente,2.7143,0.488
comida,3,0
administración,2,0
recurso,2.3333,0.5164
contacto,2.6667,0.5164
literatura,3,0
guitarra,3,0
mensaje,2.3333,0.5164
completar,2.4286,0.5345
acceso,2.1429,0.378
gris,1.8571,0.6901
iluminar,2.7143,0.488
soportar,1.25,0.4629
igual,2.2857,0.488
método,2.2857,0.488
herir,1.1429,0.378
aragón,2,0
claro,3,0
finalizar,2.8,0.4472
rincón,2.2,0.4472
concierto,2.8333,0.4082
defender,2.5,0.5477
odiar,1,0
hasta,1.8333,0.4082
masa,2.1667,0.7528
fundación,2.5,0.5477
límite,2.1429,0.6901
privar,1.1667,0.4082
federal,2.4,0.5477
rayo,2.2,0.8367
congreso,2,0.7071
pretender,2,0.7071
saltar,2.8,0.4472
coleóptero,1.6,0.5477
instalar,2.2,0.8367
hueso,1.6,0.5477
pan,3,0
entero,2.2,0.4472
valer,2.6,0.5477
generalmente,2,0
inmediato,2,0.7071
rumbo,2.4286,0.5345
inmenso,2.6,0.5477
impedir,1.2,0.4472
sorpresa,3,0
extrañar,1.4,0.8944
compuesto,2,0
estudiante,2.8,0.4472
pleno,2.7143,0.488
diseñar,2.4,0.8944
san,2.6,0.5477
paisaje,2.8571,0.378
armar,2.5714,0.5345
generación,2.1429,0.378
reflejar,2.2857,0.488
acordar,2.8,0.4472
culpa,1,0
medir,2,0
emoción,2.8333,0.4082
morfología,2,0
cuestión,1.8,0.4472
emperador,2,1
arena,2.8,0.4472
ritmo,2.8,0.4472
misión,2.2,0.4472
